pass2_group,key,display_name,source,prior_status
1,MERCURY-25,Mega Magmortar,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-26,Cryonessa,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-27,Mega Cryonessa,New Mercury concept artwork,UNREVIEWED GROUP 1
1,MERCURY-28,Mega Milotic,New Mercury concept artwork,UNREVIEWED GROUP 1
2,ER-308,Abomasnow Santa,Elite Redux,DECLINE
2,ER-126,Amaura Partner,Elite Redux,DECLINE
2,ER-98,Amaura Partner B,Elite Redux,DECLINE
2,ER-112,Amaura Partner C,Elite Redux,DECLINE
2,ER-88,Ampharos Partner,Elite Redux,DECLINE
2,ER-102,Ampharos Partner B,Elite Redux,DECLINE
2,ER-116,Ampharos Partner C,Elite Redux,DECLINE
2,ER-89,Ampharos Partner Mega,Elite Redux,DECLINE
2,ER-103,Ampharos Partner Mega B,Elite Redux,DECLINE
2,ER-117,Ampharos Partner Mega C,Elite Redux,DECLINE
2,ER-127,Aurorus Partner,Elite Redux,DECLINE
2,ER-99,Aurorus Partner B,Elite Redux,DECLINE
2,ER-113,Aurorus Partner C,Elite Redux,DECLINE
2,ER-293,Basculin Whitestriped,Elite Redux,BLANK
2,ER-71,Burmy Eterna,Elite Redux,DECLINE
2,ER-315,Calyrex Cloud Rider,Elite Redux,DECLINE
2,ER-173,Cascoon Primal,Elite Redux,DECLINE
2,ER-62,Crabonination,Elite Redux,DECLINE
2,ER-312,Darkrai Nightmare,Elite Redux,DECLINE
2,ER-355,Darmanitan Redux Aura,Elite Redux,DECLINE
2,ER-356,Darmanitan Redux Blunder,Elite Redux,DECLINE
2,ER-357,Darmanitan Redux Bond,Elite Redux,DECLINE
2,ER-295,Dragonite Delivery,Elite Redux,DECLINE
2,ER-93,Dragonite Partner,Elite Redux,DECLINE
2,ER-107,Dragonite Partner B,Elite Redux,DECLINE
3,ER-121,Dragonite Partner C,Elite Redux,DECLINE
3,ER-94,Dragonite Partner Mega,Elite Redux,DECLINE
3,ER-108,Dragonite Partner Mega B,Elite Redux,DECLINE
3,ER-122,Dragonite Partner Mega C,Elite Redux,DECLINE
3,ER-225,Duraludon Partner Mega,Elite Redux,DECLINE
3,ER-80,Eevee Partner,Elite Redux,DECLINE
3,ER-223,Eevee Partner Mega,Elite Redux,DECLINE
3,ER-311,Espeon Galaxy,Elite Redux,DECLINE
3,ER-85,Fidough Partner,Elite Redux,DECLINE
3,ER-226,Fidough Partner Mega,Elite Redux,DECLINE
3,ER-302,Flygon Redux B,Elite Redux,DECLINE
3,ER-303,Flygon Redux B Mega,Elite Redux,DECLINE
3,ER-86,Hitmonchan Partner,Elite Redux,DECLINE
3,ER-100,Hitmonchan Partner B,Elite Redux,DECLINE
3,ER-114,Hitmonchan Partner C,Elite Redux,DECLINE
3,ER-87,Hitmonchan Partner Mega,Elite Redux,DECLINE
3,ER-101,Hitmonchan Partner Mega B,Elite Redux,DECLINE
3,ER-115,Hitmonchan Partner Mega C,Elite Redux,DECLINE
3,ER-79,Hydroar F,Elite Redux,DECLINE
3,ER-228,Infernape Redux B,Elite Redux,DECLINE
3,ER-91,Kangaskhan Partner,Elite Redux,DECLINE
3,ER-105,Kangaskhan Partner B,Elite Redux,DECLINE
3,ER-119,Kangaskhan Partner C,Elite Redux,DECLINE
3,ER-92,Kangaskhan Partner Mega,Elite Redux,DECLINE
3,ER-106,Kangaskhan Partner Mega B,Elite Redux,DECLINE
4,ER-120,Kangaskhan Partner Mega C,Elite Redux,DECLINE
4,ER-320,Kartana Fallen,Elite Redux,DECLINE
4,ER-227,Kecleong,Elite Redux,DECLINE
4,ER-96,Kingdra Partner,Elite Redux,DECLINE
4,ER-110,Kingdra Partner B,Elite Redux,DECLINE
4,ER-124,Kingdra Partner C,Elite Redux,DECLINE
4,ER-97,Kingdra Partner Mega,Elite Redux,DECLINE
4,ER-111,Kingdra Partner Mega B,Elite Redux,DECLINE
4,ER-125,Kingdra Partner Mega C,Elite Redux,DECLINE
4,ER-52,Lumbering Sloth,Elite Redux,DECLINE
4,ER-78,Lumbering Sloth Engulfed,Elite Redux,DECLINE
4,ER-296,Mega Chien Pao,Elite Redux,DECLINE
4,ER-134,Mega Dewgong,Elite Redux,DECLINE
4,ER-297,Mega Dracovish,Elite Redux,DECLINE
4,ER-175,Mega Lucario Y,Elite Redux,DECLINE
4,ER-202,Mega Melmetal,Elite Redux,DECLINE
4,ER-200,Mega Urshifu,Elite Redux,DECLINE
4,ER-201,Mega Urshifu Rapid Strike Style,Elite Redux,DECLINE
4,ER-319,Mega Yveltal,Elite Redux,DECLINE
4,ER-81,Meowth Partner,Elite Redux,DECLINE
4,ER-224,Meowth Partner Mega,Elite Redux,DECLINE
4,ER-82,Mimikyu Rayquaza Busted,Elite Redux,DECLINE
4,ER-222,Pikachu Partner Mega,Elite Redux,DECLINE
4,ER-181,Rapidash Mega Galarian,Elite Redux,DECLINE
4,ER-95,Reuniclus Partner,Elite Redux,DECLINE
5,ER-109,Reuniclus Partner B,Elite Redux,DECLINE
5,ER-123,Reuniclus Partner C,Elite Redux,DECLINE
5,ER-83,Slaking Mega Ape Shift,Elite Redux,DECLINE
5,ER-313,Solrock System,Elite Redux,DECLINE
5,ER-314,Spectrier Cloud,Elite Redux,DECLINE
5,ER-300,Victini Primal,Elite Redux,DECLINE
5,ER-90,Volcarona Partner,Elite Redux,DECLINE
5,ER-104,Volcarona Partner B,Elite Redux,DECLINE
5,ER-118,Volcarona Partner C,Elite Redux,DECLINE
5,ER-318,Wigglytuff Apex,Elite Redux,DECLINE
5,ER-301,Wigglytuff Primal,Elite Redux,DECLINE
6,OTHER-1,Abomasnow (Female),Pokémon Essentials v21.1,PENDING
6,OTHER-2,Aipom (Female),Pokémon Essentials v21.1,PENDING
6,OTHER-3,Alakazam (Female),Pokémon Essentials v21.1,PENDING
6,OTHER-4,Ambipom (Female),Pokémon Essentials v21.1,PENDING
6,OTHER-5,Arceus — Form 1,Pokémon Essentials v21.1,PENDING
6,OTHER-6,Arceus — Form 10,Pokémon Essentials v21.1,PENDING
6,OTHER-7,Arceus — Form 11,Pokémon Essentials v21.1,PENDING
6,OTHER-8,Arceus — Form 12,Pokémon Essentials v21.1,PENDING
6,OTHER-9,Arceus — Form 13,Pokémon Essentials v21.1,PENDING
6,OTHER-10,Arceus — Form 14,Pokémon Essentials v21.1,PENDING
6,OTHER-11,Arceus — Form 15,Pokémon Essentials v21.1,PENDING
6,OTHER-12,Arceus — Form 16,Pokémon Essentials v21.1,PENDING
6,OTHER-13,Arceus — Form 17,Pokémon Essentials v21.1,PENDING
6,OTHER-14,Arceus — Form 2,Pokémon Essentials v21.1,PENDING
6,OTHER-15,Arceus — Form 3,Pokémon Essentials v21.1,PENDING
6,OTHER-16,Arceus — Form 4,Pokémon Essentials v21.1,PENDING
6,OTHER-17,Arceus — Form 5,Pokémon Essentials v21.1,PENDING
6,OTHER-18,Arceus — Form 6,Pokémon Essentials v21.1,PENDING
6,OTHER-19,Arceus — Form 7,Pokémon Essentials v21.1,PENDING
6,OTHER-20,Arceus — Form 8,Pokémon Essentials v21.1,PENDING
6,OTHER-21,Arceus — Form 9,Pokémon Essentials v21.1,PENDING
6,OTHER-22,Basculin — Form 1,Pokémon Essentials v21.1,PENDING
6,OTHER-23,Beautifly (Female),Pokémon Essentials v21.1,PENDING
6,OTHER-24,Bibarel (Female),Pokémon Essentials v21.1,PENDING
6,OTHER-25,Bidoof (Female),Pokémon Essentials v21.1,PENDING
7,OTHER-26,Blaziken (Female),Pokémon Essentials v21.1,PENDING
7,OTHER-27,Buizel (Female),Pokémon Essentials v21.1,PENDING
7,OTHER-28,Burmy — Form 1,Pokémon Essentials v21.1,PENDING
7,OTHER-29,Burmy — Form 2,Pokémon Essentials v21.1,PENDING
7,OTHER-30,Butterfree (Female),Pokémon Essentials v21.1,PENDING
7,OTHER-31,Cacturne (Female),Pokémon Essentials v21.1,PENDING
7,OTHER-32,Camerupt (Female),Pokémon Essentials v21.1,PENDING
7,OTHER-33,Castform — Form 1,Pokémon Essentials v21.1,PENDING
7,OTHER-34,Castform — Form 2,Pokémon Essentials v21.1,PENDING
7,OTHER-35,Castform — Form 3,Pokémon Essentials v21.1,PENDING
7,OTHER-36,Cherrim — Form 1,Pokémon Essentials v21.1,PENDING
7,OTHER-37,Combee (Female),Pokémon Essentials v21.1,PENDING
7,OTHER-38,Combusken (Female),Pokémon Essentials v21.1,PENDING
7,OTHER-39,Croagunk (Female),Pokémon Essentials v21.1,PENDING
7,OTHER-40,Darmanitan — Form 1,Pokémon Essentials v21.1,PENDING
7,OTHER-41,Deerling — Form 1,Pokémon Essentials v21.1,PENDING
7,OTHER-42,Deerling — Form 2,Pokémon Essentials v21.1,PENDING
7,OTHER-43,Deerling — Form 3,Pokémon Essentials v21.1,PENDING
7,OTHER-44,Deoxys — Form 1,Pokémon Essentials v21.1,PENDING
7,OTHER-45,Deoxys — Form 2,Pokémon Essentials v21.1,PENDING
7,OTHER-46,Deoxys — Form 3,Pokémon Essentials v21.1,PENDING
7,OTHER-47,Dodrio (Female),Pokémon Essentials v21.1,PENDING
7,OTHER-48,Doduo (Female),Pokémon Essentials v21.1,PENDING
7,OTHER-49,Donphan (Female),Pokémon Essentials v21.1,PENDING
7,OTHER-50,Dustox (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-51,Electabuzz (Shadow),Pokémon Essentials v21.1,PENDING
8,OTHER-52,Finneon (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-53,Floatzel (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-54,Frillish (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-55,Gabite (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-56,Garchomp (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-57,Gastrodon — Form 1,Pokémon Essentials v21.1,PENDING
8,OTHER-58,Genesect — Form 1,Pokémon Essentials v21.1,PENDING
8,OTHER-59,Genesect — Form 2,Pokémon Essentials v21.1,PENDING
8,OTHER-60,Genesect — Form 3,Pokémon Essentials v21.1,PENDING
8,OTHER-61,Genesect — Form 4,Pokémon Essentials v21.1,PENDING
8,OTHER-62,Gible (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-63,Girafarig (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-64,Giratina — Form 1,Pokémon Essentials v21.1,PENDING
8,OTHER-65,Gligar (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-66,Gloom (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-67,Golbat (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-68,Goldeen (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-69,Gulpin (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-70,Gyarados (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-71,Heracross (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-72,Hippopotas (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-73,Hippowdon (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-74,Houndoom (Female),Pokémon Essentials v21.1,PENDING
8,OTHER-75,Hypno (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-76,Jellicent (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-77,Kadabra (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-78,Keldeo — Form 1,Pokémon Essentials v21.1,PENDING
9,OTHER-79,Kricketot (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-80,Kricketune (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-81,Kyurem — Form 1,Pokémon Essentials v21.1,PENDING
9,OTHER-82,Kyurem — Form 2,Pokémon Essentials v21.1,PENDING
9,OTHER-83,Kyurem — Form 3,Pokémon Essentials v21.1,PENDING
9,OTHER-84,Kyurem — Form 4,Pokémon Essentials v21.1,PENDING
9,OTHER-85,Landorus — Form 1,Pokémon Essentials v21.1,PENDING
9,OTHER-86,Ledian (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-87,Ledyba (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-88,Ludicolo (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-89,Lumineon (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-90,Luxio (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-91,Luxray (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-92,Magikarp (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-93,Mamoswine (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-94,Medicham (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-95,Meditite (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-96,Meganium (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-97,Meloetta — Form 1,Pokémon Essentials v21.1,PENDING
9,OTHER-98,Milotic (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-99,Murkrow (Female),Pokémon Essentials v21.1,PENDING
9,OTHER-100,Numel (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-101,Nuzleaf (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-102,Octillery (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-103,Pachirisu (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-104,Pichu — Form 2,Pokémon Essentials v21.1,PENDING
10,OTHER-105,Pikachu (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-106,Piloswine (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-107,Politoed (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-108,Quagsire (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-109,Raichu (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-110,Raticate (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-111,Rattata (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-112,Relicanth (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-113,Rhydon (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-114,Rhyhorn (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-115,Rhyperior (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-116,Roselia (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-117,Roserade (Female),Pokémon Essentials v21.1,PENDING
10,OTHER-118,Rotom — Form 1,Pokémon Essentials v21.1,PENDING
10,OTHER-119,Rotom — Form 2,Pokémon Essentials v21.1,PENDING
10,OTHER-120,Rotom — Form 3,Pokémon Essentials v21.1,PENDING
10,OTHER-121,Rotom — Form 4,Pokémon Essentials v21.1,PENDING
10,OTHER-122,Rotom — Form 5,Pokémon Essentials v21.1,PENDING
10,OTHER-123,Sawsbuck — Form 1,Pokémon Essentials v21.1,PENDING
10,OTHER-124,Sawsbuck — Form 2,Pokémon Essentials v21.1,PENDING
10,OTHER-125,Sawsbuck — Form 3,Pokémon Essentials v21.1,PENDING
11,OTHER-126,Scizor (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-127,Scyther (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-128,Seaking (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-129,Shaymin — Form 1,Pokémon Essentials v21.1,PENDING
11,OTHER-130,Shellos — Form 1,Pokémon Essentials v21.1,PENDING
11,OTHER-131,Shiftry (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-132,Shinx (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-133,Sneasel (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-134,Snover (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-135,Staraptor (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-136,Staravia (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-137,Starly (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-138,Steelix (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-139,Sudowoodo (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-140,Swalot (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-141,Tangrowth (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-142,Thundurus — Form 1,Pokémon Essentials v21.1,PENDING
11,OTHER-143,Torchic (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-144,Tornadus — Form 1,Pokémon Essentials v21.1,PENDING
11,OTHER-145,Toxicroak (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-146,Unfezant (Female),Pokémon Essentials v21.1,PENDING
11,OTHER-147,Unown — Form 1,Pokémon Essentials v21.1,PENDING
11,OTHER-148,Unown — Form 10,Pokémon Essentials v21.1,PENDING
11,OTHER-149,Unown — Form 11,Pokémon Essentials v21.1,PENDING
11,OTHER-150,Unown — Form 12,Pokémon Essentials v21.1,PENDING
12,OTHER-151,Unown — Form 13,Pokémon Essentials v21.1,PENDING
12,OTHER-152,Unown — Form 14,Pokémon Essentials v21.1,PENDING
12,OTHER-153,Unown — Form 15,Pokémon Essentials v21.1,PENDING
12,OTHER-154,Unown — Form 16,Pokémon Essentials v21.1,PENDING
12,OTHER-155,Unown — Form 17,Pokémon Essentials v21.1,PENDING
12,OTHER-156,Unown — Form 18,Pokémon Essentials v21.1,PENDING
12,OTHER-157,Unown — Form 19,Pokémon Essentials v21.1,PENDING
12,OTHER-158,Unown — Form 2,Pokémon Essentials v21.1,PENDING
12,OTHER-159,Unown — Form 20,Pokémon Essentials v21.1,PENDING
12,OTHER-160,Unown — Form 21,Pokémon Essentials v21.1,PENDING
12,OTHER-161,Unown — Form 22,Pokémon Essentials v21.1,PENDING
12,OTHER-162,Unown — Form 23,Pokémon Essentials v21.1,PENDING
12,OTHER-163,Unown — Form 24,Pokémon Essentials v21.1,PENDING
12,OTHER-164,Unown — Form 25,Pokémon Essentials v21.1,PENDING
12,OTHER-165,Unown — Form 26,Pokémon Essentials v21.1,PENDING
12,OTHER-166,Unown — Form 27,Pokémon Essentials v21.1,PENDING
12,OTHER-167,Unown — Form 3,Pokémon Essentials v21.1,PENDING
12,OTHER-168,Unown — Form 4,Pokémon Essentials v21.1,PENDING
12,OTHER-169,Unown — Form 5,Pokémon Essentials v21.1,PENDING
12,OTHER-170,Unown — Form 6,Pokémon Essentials v21.1,PENDING
12,OTHER-171,Unown — Form 7,Pokémon Essentials v21.1,PENDING
12,OTHER-172,Unown — Form 8,Pokémon Essentials v21.1,PENDING
12,OTHER-173,Unown — Form 9,Pokémon Essentials v21.1,PENDING
12,OTHER-174,Ursaring (Female),Pokémon Essentials v21.1,PENDING
12,OTHER-175,Venusaur (Female),Pokémon Essentials v21.1,PENDING
13,OTHER-176,Vileplume (Female),Pokémon Essentials v21.1,PENDING
13,OTHER-177,Weavile (Female),Pokémon Essentials v21.1,PENDING
13,OTHER-178,Weepinbell (Shadow),Pokémon Essentials v21.1,PENDING
13,OTHER-179,Wobbuffet (Female),Pokémon Essentials v21.1,PENDING
13,OTHER-180,Wooper (Female),Pokémon Essentials v21.1,PENDING
13,OTHER-181,Wormadam — Form 1,Pokémon Essentials v21.1,PENDING
13,OTHER-182,Wormadam — Form 2,Pokémon Essentials v21.1,PENDING
13,OTHER-183,Xatu (Female),Pokémon Essentials v21.1,PENDING
13,OTHER-184,Zubat (Female),Pokémon Essentials v21.1,PENDING
