internal_id,source_name,mercury_story_name,sprite_source_path
SPECIES_FROSLASS_REDUX_MEGA,Froslass Redux Mega,Mega Delta Froslass,graphics/pokemon/froslass/redux_mega/front.png
SPECIES_HONEDGE_REDUX,Honedge Redux,Delta Honedge,graphics/pokemon/honedge/redux/front.png
SPECIES_GROWLITHE_REDUX,Growlithe Redux,Delta Growlithe,graphics/pokemon/growlithe/redux/front.png
SPECIES_GIBLE_REDUX,Gible Redux,Delta Gible,graphics/pokemon/gible/redux/front.png
SPECIES_GABITE_REDUX,Gabite Redux,Delta Gabite,graphics/pokemon/gabite/redux/front.png
SPECIES_GARCHOMP_REDUX,Garchomp Redux,Delta Garchomp,graphics/pokemon/garchomp/redux/front.png
SPECIES_HOUNDOOM_REDUX,Houndoom Redux,Delta Houndoom,graphics/pokemon/houndoom/redux/front.png
SPECIES_GROTLE_REDUX,Grotle Redux,Delta Grotle,graphics/pokemon/grotle/redux/front.png
SPECIES_GLIGAR_REDUX,Gligar Redux,Delta Gligar,graphics/pokemon/gligar/redux/front.png
SPECIES_GLISCOR_REDUX,Gliscor Redux,Delta Gliscor,graphics/pokemon/gliscor/redux/front.png
SPECIES_GLALIE_REDUX,Glalie Redux,Delta Glalie,graphics/pokemon/glalie/redux/front.png
SPECIES_KINGAMBIT_REDUX_MEGA,Kingambit Redux Mega,Mega Delta Kingambit,graphics/pokemon/kingambit/redux_mega/front.png
SPECIES_HYDREIGON_REDUX_MEGA,Hydreigon Redux Mega,Mega Delta Hydreigon,graphics/pokemon/hydreigon/redux_mega/front.png
SPECIES_INFERNAPE_REDUX_MEGA,Infernape Redux Mega,Mega Delta Infernape,graphics/pokemon/infernape/redux_mega/front.png
SPECIES_KADABRA_REDUX,Kadabra Redux,Delta Kadabra,graphics/pokemon/kadabra/redux/front.png
SPECIES_KAKUNA_REDUX,Kakuna Redux,Delta Kakuna,graphics/pokemon/kakuna/redux/front.png
SPECIES_HYDREIGON_REDUX,Hydreigon Redux,Delta Hydreigon,graphics/pokemon/hydreigon/redux/front.png
SPECIES_HOUNDOUR_REDUX,Houndour Redux,Delta Houndour,graphics/pokemon/houndour/redux/front.png
SPECIES_KINGAMBIT_REDUX,Kingambit Redux,Delta Kingambit,graphics/pokemon/kingambit/redux/front.png
SPECIES_INFERNAPE_REDUX,Infernape Redux,Delta Infernape,graphics/pokemon/infernape/redux/front.png
SPECIES_MACHAMP_MEGA_REDUX,Machamp Mega Redux,Mega Delta Machamp,graphics/pokemon/machamp/mega_redux/front.png
SPECIES_MAWILE_MEGA_REDUX,Mawile Mega Redux,Mega Delta Mawile,graphics/pokemon/mawile/mega_redux/front.png
SPECIES_LUXRAY_REDUX,Luxray Redux,Delta Luxray,graphics/pokemon/luxray/redux/front.png
SPECIES_MAGCARGO_REDUX,Magcargo Redux,Delta Magcargo,graphics/pokemon/magcargo/redux/front.png
SPECIES_MACHOP_REDUX,Machop Redux,Delta Machop,graphics/pokemon/machop/redux/front.png
SPECIES_MACHOKE_REDUX,Machoke Redux,Delta Machoke,graphics/pokemon/machoke/redux/front.png
SPECIES_MACHAMP_REDUX,Machamp Redux,Delta Machamp,graphics/pokemon/machamp/redux/front.png
SPECIES_LOUDRED_REDUX,Loudred Redux,Delta Loudred,graphics/pokemon/loudred/redux/front.png
SPECIES_MAWILE_REDUX,Mawile Redux,Delta Mawile,graphics/pokemon/mawile/redux/front.png
SPECIES_LARVITAR_REDUX,Larvitar Redux,Delta Larvitar,graphics/pokemon/larvitar/redux/front.png
SPECIES_MAWILE_REDUX_B,Mawile Redux B,Delta Mawile B,graphics/pokemon/mawile/redux_b/front.png
SPECIES_MAWILE_REDUX_B_MEGA,Mawile Redux B Mega,Mega Delta Mawile B,graphics/pokemon/mawile/redux_b_mega/front.png
SPECIES_MESPRIT_REDUX,Mesprit Redux,Delta Mesprit,graphics/pokemon/mesprit/redux/front.png
SPECIES_REUNICLUS_REDUX_MEGA,Reuniclus Redux Mega,Mega Delta Reuniclus,graphics/pokemon/reuniclus/redux_mega/front.png
SPECIES_NOIBAT_REDUX,Noibat Redux,Delta Noibat,graphics/pokemon/noibat/redux/front.png
SPECIES_NOIVERN_REDUX,Noivern Redux,Delta Noivern,graphics/pokemon/noivern/redux/front.png
SPECIES_PANPOUR_REDUX,Panpour Redux,Delta Panpour,graphics/pokemon/panpour/redux/front.png
SPECIES_PANSAGE_REDUX,Pansage Redux,Delta Pansage,graphics/pokemon/pansage/redux/front.png
SPECIES_PANSEAR_REDUX,Pansear Redux,Delta Pansear,graphics/pokemon/pansear/redux/front.png
SPECIES_REUNICLUS_REDUX,Reuniclus Redux,Delta Reuniclus,graphics/pokemon/reuniclus/redux/front.png
SPECIES_PAWNIARD_REDUX,Pawniard Redux,Delta Pawniard,graphics/pokemon/pawniard/redux/front.png
SPECIES_PUPITAR_REDUX,Pupitar Redux,Delta Pupitar,graphics/pokemon/pupitar/redux/front.png
SPECIES_RIBOMBEE_REDUX,Ribombee Redux,Delta Ribombee,graphics/pokemon/ribombee/redux/front.png
SPECIES_MONFERNO_REDUX,Monferno Redux,Delta Monferno,graphics/pokemon/monferno/redux/front.png
SPECIES_PIPLUP_REDUX,Piplup Redux,Delta Piplup,graphics/pokemon/piplup/redux/front.png
SPECIES_PRINPLUP_REDUX,Prinplup Redux,Delta Prinplup,graphics/pokemon/prinplup/redux/front.png
SPECIES_PSYDUCK_REDUX,Psyduck Redux,Delta Psyduck,graphics/pokemon/psyduck/redux/front.png
SPECIES_SKARMORY_MEGA_REDUX,Skarmory Mega Redux,Mega Delta Skarmory,graphics/pokemon/skarmory/mega_redux/front.png
SPECIES_SABLEYE_MEGA_REDUX,Sableye Mega Redux,Mega Delta Sableye,graphics/pokemon/sableye/mega_redux/front.png
SPECIES_STUFFUL_REDUX,Stufful Redux,Delta Stufful,graphics/pokemon/stufful/redux/front.png
SPECIES_SIMIPOUR_REDUX,Simipour Redux,Delta Simipour,graphics/pokemon/simipour/redux/front.png
SPECIES_SIMISAGE_REDUX,Simisage Redux,Delta Simisage,graphics/pokemon/simisage/redux/front.png
SPECIES_SIMISEAR_REDUX,Simisear Redux,Delta Simisear,graphics/pokemon/simisear/redux/front.png
SPECIES_SLUGMA_REDUX,Slugma Redux,Delta Slugma,graphics/pokemon/slugma/redux/front.png
SPECIES_SOLOSIS_REDUX,Solosis Redux,Delta Solosis,graphics/pokemon/solosis/redux/front.png
SPECIES_SKARMORY_REDUX,Skarmory Redux,Delta Skarmory,graphics/pokemon/skarmory/redux/front.png
SPECIES_SABLEYE_REDUX,Sableye Redux,Delta Sableye,graphics/pokemon/sableye/redux/front.png
SPECIES_SCIZOR_REDUX,Scizor Redux,Delta Scizor,graphics/pokemon/scizor/redux/front.png
SPECIES_RIBOMBEE_REDUX_MEGA,Ribombee Redux Mega,Mega Delta Ribombee,graphics/pokemon/ribombee/redux_mega/front.png
SPECIES_STEENEE_REDUX,Steenee Redux,Delta Steenee,graphics/pokemon/steenee/redux/front.png
SPECIES_SEEL_REDUX,Seel Redux,Delta Seel,graphics/pokemon/seel/redux/front.png
SPECIES_SNORUNT_REDUX,Snorunt Redux,Delta Snorunt,graphics/pokemon/snorunt/redux/front.png
SPECIES_TORTERRA_REDUX_MEGA,Torterra Redux Mega,Mega Delta Torterra,graphics/pokemon/torterra/redux_mega/front.png
SPECIES_TSAREENA_REDUX_MEGA,Tsareena Redux Mega,Mega Delta Tsareena,graphics/pokemon/tsareena/redux_mega/front.png
SPECIES_TOXTRICITY_REDUX_MEGA,Toxtricity Redux Mega,Mega Delta Toxtricity,graphics/pokemon/toxtricity/redux_mega/front.png
SPECIES_TOXTRICITY_REDUX_FUZZ_MEGA,Toxtricity Redux Fuzz Mega,Mega Delta Toxtricity Fuzz,graphics/pokemon/toxtricity/redux_fuzz_mega/front.png
SPECIES_WEEDLE_REDUX,Weedle Redux,Delta Weedle,graphics/pokemon/weedle/redux/front.png
SPECIES_UXIE_REDUX,Uxie Redux,Delta Uxie,graphics/pokemon/uxie/redux/front.png
SPECIES_WHISMUR_REDUX,Whismur Redux,Delta Whismur,graphics/pokemon/whismur/redux/front.png
SPECIES_TYRANITAR_REDUX,Tyranitar Redux,Delta Tyranitar,graphics/pokemon/tyranitar/redux/front.png
SPECIES_TYRANITAR_MEGA_REDUX,Tyranitar Mega Redux,Mega Delta Tyranitar,graphics/pokemon/tyranitar/mega_redux/front.png
SPECIES_WEAVILE_REDUX,Weavile Redux,Delta Weavile,graphics/pokemon/weavile/redux/front.png
SPECIES_WEAVILE_REDUX_MEGA,Weavile Redux Mega,Mega Delta Weavile,graphics/pokemon/weavile/redux_mega/front.png
SPECIES_TURTWIG_REDUX,Turtwig Redux,Delta Turtwig,graphics/pokemon/turtwig/redux/front.png
SPECIES_TORTERRA_REDUX,Torterra Redux,Delta Torterra,graphics/pokemon/torterra/redux/front.png
SPECIES_TSAREENA_REDUX,Tsareena Redux,Delta Tsareena,graphics/pokemon/tsareena/redux/front.png
SPECIES_TOXEL_REDUX,Toxel Redux,Delta Toxel,graphics/pokemon/toxel/redux/front.png
SPECIES_TOXTRICITY_REDUX,Toxtricity Redux,Delta Toxtricity,graphics/pokemon/toxtricity/redux/front.png
SPECIES_TOXTRICITY_REDUX_FUZZ,Toxtricity Redux Fuzz,Delta Toxtricity Fuzz,graphics/pokemon/toxtricity/redux_fuzz/front.png
SPECIES_TRAPINCH_REDUX,Trapinch Redux,Delta Trapinch,graphics/pokemon/trapinch/redux/front.png
SPECIES_VIBRAVA_REDUX,Vibrava Redux,Delta Vibrava,graphics/pokemon/vibrava/redux/front.png
SPECIES_ZWEILOUS_REDUX,Zweilous Redux,Delta Zweilous,graphics/pokemon/zweilous/redux/front.png
