review_id,dex,family_anchor,family_line,source_id,base_pokemon,variant,source,group,kind,type1,type2,asset_state,suggested_mercury_classification,suggested_acquisition,locked_status,approval,notes
R0056,40,39,#0174 Igglybuff → #0039 Jigglypuff → #0040 Wigglytuff,ER-1784,Wigglytuff,Wigglytuff Primal,Elite Redux,03 Elite Redux - New Species & Evolutions,New Species / Evolution,Normal,Fairy,4-view complete,New species / evolution,Connection review needed — decide parent/evolution method in Notes,REVIEW,PENDING,
R0057,40,39,#0174 Igglybuff → #0039 Jigglypuff → #0040 Wigglytuff,ER-1560,Wigglytuff,Wigglytuff Mega X,Elite Redux,04 Elite Redux - Standard Megas,Mega,Fighting,Fairy,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0058,40,39,#0174 Igglybuff → #0039 Jigglypuff → #0040 Wigglytuff,ER-1562,Wigglytuff,Wigglytuff Mega Y,Elite Redux,04 Elite Redux - Standard Megas,Mega,Fire,Fairy,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0059,40,39,#0174 Igglybuff → #0039 Jigglypuff → #0040 Wigglytuff,PR-0040,Wigglytuff,Platinum Redux Wigglytuff,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Normal,Ghost,Normal + shiny front/back converted from NDS,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0060,40,39,#0174 Igglybuff → #0039 Jigglypuff → #0040 Wigglytuff,CPF-0018,Wigglytuff,Wigglytuff — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Flying,Fairy,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0061,169,41,#0041 Zubat → #0042 Golbat → #0169 Crobat,ER-1519,Crobat,Crobat Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Poison,Flying,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0062,182,43,#0043 Oddish → #0044 Gloom → #0045 Vileplume → #0182 Bellossom,PR-0182,Bellossom,Platinum Redux Bellossom,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Grass,Fire,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0063,46,46,#0046 Paras → #0047 Parasect,CPF-0019,Paras,Paras — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Bug,Ghost,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0064,47,46,#0046 Paras → #0047 Parasect,CPF-0020,Parasect,Parasect — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Bug,Ghost,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0065,48,48,#0048 Venonat → #0049 Venomoth,CPF-0021,Venonat,Venonat — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Bug,Psychic,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0066,49,48,#0048 Venonat → #0049 Venomoth,PR-0049,Venomoth,Platinum Redux Venomoth,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Bug,Fire,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0067,49,48,#0048 Venonat → #0049 Venomoth,CPF-0022,Venomoth,Venomoth — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Bug,Psychic,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0068,51,50,#0050 Diglett → #0051 Dugtrio,PR-0051,Dugtrio,Platinum Redux Dugtrio,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Ground,Normal,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0069,52,52,#0052 Meowth → #0053 Persian,ER-1472,Meowth,Meowth Partner,Elite Redux,03 Elite Redux - New Species & Evolutions,New Species / Evolution,Normal,,4-view complete,New species / evolution,Connection review needed — decide parent/evolution method in Notes,REVIEW,PENDING,
R0070,52,52,#0052 Meowth → #0053 Persian,ER-1614,Meowth,Meowth Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Normal,,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0071,53,52,#0052 Meowth → #0053 Persian,PR-0053,Persian,Platinum Redux Persian,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Normal,Dark,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0072,54,54,#0054 Psyduck → #0055 Golduck,ER-1830,Psyduck,Psyduck Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Dark,,4-view complete,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0073,55,54,#0054 Psyduck → #0055 Golduck,PR-0055,Golduck,Platinum Redux Golduck,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Water,Ghost,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0074,58,58,#0058 Growlithe → #0059 Arcanine,ER-1748,Growlithe,Growlithe Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Fire,Grass,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0075,59,58,#0058 Growlithe → #0059 Arcanine,ER-1749,Arcanine,Arcanine Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Fire,Grass,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0076,59,58,#0058 Growlithe → #0059 Arcanine,ER-1636,Arcanine,Arcanine Hisuian Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Fire,Rock,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0077,59,58,#0058 Growlithe → #0059 Arcanine,ER-1629,Arcanine,Arcanine Mega,Elite Redux,04 Elite Redux - Standard Megas,Mega,Fire,,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0078,59,58,#0058 Growlithe → #0059 Arcanine,ER-1554,Arcanine,Arcanine Mega,Elite Redux,06 Elite Redux - Redux Megas,Mega,Fire,Grass,4-view complete,Custom Mega,Species-specific Mega Stone; only if this design is approved,REVIEW,PENDING,
R0079,59,58,#0058 Growlithe → #0059 Arcanine,PR-0059,Arcanine,Platinum Redux Arcanine,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Fire,Normal,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0080,60,60,#0060 Poliwag → #0061 Poliwhirl → #0062 Poliwrath → #0186 Politoed,CPF-0023,Poliwag,Poliwag — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Ground,,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0081,61,60,#0060 Poliwag → #0061 Poliwhirl → #0062 Poliwrath → #0186 Politoed,CPF-0024,Poliwhirl,Poliwhirl — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Ground,,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0082,62,60,#0060 Poliwag → #0061 Poliwhirl → #0062 Poliwrath → #0186 Politoed,CPF-0025,Poliwrath,Poliwrath — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Ground,Fighting,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0083,186,60,#0060 Poliwag → #0061 Poliwhirl → #0062 Poliwrath → #0186 Politoed,PR-0186,Politoed,Platinum Redux Politoed,Platinum Redux 2.9.3 TC6,Platinum Redux — changed-type variants,Alternate Form,Water,Psychic,Normal + shiny front/back converted from NDS,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0084,186,60,#0060 Poliwag → #0061 Poliwhirl → #0062 Poliwrath → #0186 Politoed,CPF-0100,Politoed,Politoed — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Ground,Psychic,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0085,63,63,#0063 Abra → #0064 Kadabra → #0065 Alakazam,ER-1720,Abra,Abra Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Dark,,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0086,63,63,#0063 Abra → #0064 Kadabra → #0065 Alakazam,CPF-0026,Abra,Abra — Alternate (Form 1),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Psychic,Steel,Front + back only,Standalone Delta candidate,"Delta Stone candidate, unless a lore/location method fits better",REVIEW,PENDING,
R0087,63,63,#0063 Abra → #0064 Kadabra → #0065 Alakazam,CPF-0027,Abra,Abra — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Psychic,Ice,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0088,64,63,#0063 Abra → #0064 Kadabra → #0065 Alakazam,ER-1721,Kadabra,Kadabra Redux,Elite Redux,05 Elite Redux - Redux Forms,Redux Form,Dark,Fighting,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
R0089,64,63,#0063 Abra → #0064 Kadabra → #0065 Alakazam,CPF-0028,Kadabra,Kadabra — Alternate (Form 2),Reborn / Plates of Arceus,01 Reborn - Alternate & Type Forms,Alternate Form,Psychic,Ice,4-view complete,Delta family candidate,Obtain the earliest Delta stage; evolve through the matching Delta line,REVIEW,PENDING,
